con_legis_num,legislation_number,congress_session,title,cosponsors,bill,gov_track,dc_ratio_aggregate,ratio_binary,manual_coding,URL,canonical_id,in_filter,legislation_id,matched_keywords
101_s.208,s.208,101,Prevention of Missile Transfers to the Middle East Act,0.0,1.0,1.0,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-bill/208?q=%7B%22search%22%3A%22Prevention+of+Missile+Transfers+Transfer+to+the+Middle+East+Act%22%7D&s=2&r=2,101_s.208,True,101_s.208,china|chinese|people's republic of china
101_s.2685,s.2685,101,Export Promotion and Control Act of 1990,0.0,1.0,1.0,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-bill/2685?q=%7B%22search%22%3A%22Export+Promotion+and+Control+Act+of+1990%22%7D&s=3&r=19,101_s.2685,True,101_s.2685,china
101_s.2749,s.2749,101,"Supplemental Foreign Relations Authorization Act, Fiscal Year 1991",0.0,1.0,1.0,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-bill/2749?q=%7B%22search%22%3A%22Supplemental+Foreign+Relations+Relation+Authorization+Act%2C+Fiscal+Year+1991%22%7D&s=5&r=7,101_s.2749,True,101_s.2749,china|chinese
101_s.2834,s.2834,101,Intelligence Authorization Act for Fiscal Year 1991,,1.0,0.0,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-bill/2834?q=%7B%22search%22%3A%22S.+2834%22%7D&s=4&r=1,101_s.2834,False,,
101_s.2836,s.2836,101,Support for Democracy and Human Rights in China Act of 1990,24.0,1.0,1.0,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-bill/2836?q=%7B%22search%22%3A%22Support+for+Democracy+and+Human+Rights+Right+in+China+Act+of+1990%22%7D&s=6&r=4,101_s.2836,True,101_s.2836,china|chinese|people's republic of china
101_s.2884,s.2884,101,National Defense Authorization Act for Fiscal Year 1991,0.0,1.0,1.0,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-bill/2884?q=%7B%22search%22%3A%22National+Defense+Authorization+Act+for+Fiscal+Year+1991%22%7D&s=7&r=22,101_s.2884,True,101_s.2884,china|chinese|people's republic of china
101_s.2905,s.2905,101,National Defense Authorization Act for Fiscal Year 1991,0.0,1.0,1.0,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-bill/2905?q=%7B%22search%22%3A%22National+Defense+Authorization+Act+for+Fiscal+Year+1991%22%7D&s=7&r=21,101_s.2905,True,101_s.2905,china|chinese|people's republic of china
101_s.2906,s.2906,101,National Defense Authorization Act for Fiscal Year 1991,0.0,1.0,1.0,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-bill/2906?q=%7B%22search%22%3A%22National+Defense+Authorization+Act+for+Fiscal+Year+1991%22%7D&s=7&r=20,101_s.2906,True,101_s.2906,china|chinese|people's republic of china
101_s.2911,s.2911,101,National Defense Authorization Act for Fiscal Year 1991,0.0,1.0,1.0,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-bill/2911?q=%7B%22search%22%3A%22National+Defense+Authorization+Act+for+Fiscal+Year+1991%22%7D&s=7&r=17,101_s.2911,True,101_s.2911,china|chinese|people's republic of china
101_s.2912,s.2912,101,Department of Defense Authorization Act for Fiscal Year 1991,0.0,1.0,1.0,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-bill/2912?q=%7B%22search%22%3A%22Department+of+Defense+Authorization+Act+for+Fiscal+Year+1991%22%7D&s=9&r=13,101_s.2912,True,101_s.2912,china|chinese|people's republic of china
